FEN:ID,:LABEL,Comment,Source Code,Signature,Modifiers
org.apache.commons.jxpath.ri.axes.DescendantContext.currentNodePointer,Field,No Comment,private NodePointer currentNodePointer = null;,org.apache.commons.jxpath.ri.model.NodePointer currentNodePointer,private 
org.apache.commons.jxpath.ri.axes.DescendantContext.includeSelf,Field,No Comment,private final boolean includeSelf;,boolean includeSelf,"private , final "
org.apache.commons.jxpath.ri.axes.DescendantContext.ELEMENT_NODE_TEST,Field,No Comment,private static final NodeTest ELEMENT_NODE_TEST = new NodeTypeTest(Compiler.NODE_TYPE_NODE);,org.apache.commons.jxpath.ri.compiler.NodeTest ELEMENT_NODE_TEST,"private , static , final "
org.apache.commons.jxpath.ri.axes.RootContext.jxpathContext,Field,No Comment,private final JXPathContextReferenceImpl jxpathContext;,org.apache.commons.jxpath.ri.JXPathContextReferenceImpl jxpathContext,"private , final "
org.apache.commons.jxpath.ri.axes.RootContext.pointer,Field,No Comment,private final NodePointer pointer;,org.apache.commons.jxpath.ri.model.NodePointer pointer,"private , final "
org.apache.commons.jxpath.ri.axes.RootContext.registers,Field,No Comment,private Object[] registers;,java.lang.Object[] registers,private 
org.apache.commons.jxpath.ri.axes.RootContext.availableRegister,Field,No Comment,private int availableRegister = 0;,int availableRegister,private 
org.apache.commons.jxpath.ri.axes.RootContext.UNKNOWN_VALUE,Field,No Comment,public static final Object UNKNOWN_VALUE = new Object();,java.lang.Object UNKNOWN_VALUE,"public , static , final "
org.apache.commons.jxpath.ri.axes.RootContext.MAX_REGISTER,Field,No Comment,private static final int MAX_REGISTER = 4;,int MAX_REGISTER,"private , static , final "
org.apache.commons.jxpath.ri.axes.SelfContext.nodeTest,Field,No Comment,private final NodeTest nodeTest;,org.apache.commons.jxpath.ri.compiler.NodeTest nodeTest,"private , final "
org.apache.commons.jxpath.ri.axes.SelfContext.startedSet,Field,No Comment,private boolean startedSet = false;,boolean startedSet,private 
org.apache.commons.jxpath.ri.axes.SelfContext.nodePointer,Field,No Comment,private NodePointer nodePointer;,org.apache.commons.jxpath.ri.model.NodePointer nodePointer,private 
org.apache.commons.jxpath.ri.axes.AttributeContext.WILDCARD,Field,No Comment,"private static final QName WILDCARD = new QName(null, ""*"");",org.apache.commons.jxpath.ri.QName WILDCARD,"private , static , final "
org.apache.commons.jxpath.ri.axes.AttributeContext.nodeTest,Field,No Comment,private final NodeTest nodeTest;,org.apache.commons.jxpath.ri.compiler.NodeTest nodeTest,"private , final "
org.apache.commons.jxpath.ri.axes.AttributeContext.setStarted,Field,No Comment,private boolean setStarted = false;,boolean setStarted,private 
org.apache.commons.jxpath.ri.axes.AttributeContext.iterator,Field,No Comment,private NodeIterator iterator;,org.apache.commons.jxpath.ri.model.NodeIterator iterator,private 
org.apache.commons.jxpath.ri.axes.AttributeContext.currentNodePointer,Field,No Comment,private NodePointer currentNodePointer;,org.apache.commons.jxpath.ri.model.NodePointer currentNodePointer,private 
org.apache.commons.jxpath.ri.axes.UnionContext.contexts,Field,No Comment,private final EvalContext[] contexts;,org.apache.commons.jxpath.ri.EvalContext[] contexts,"private , final "
org.apache.commons.jxpath.ri.axes.UnionContext.prepared,Field,No Comment,private boolean prepared;,boolean prepared,private 
org.apache.commons.jxpath.ri.axes.ChildContext.nodeTest,Field,No Comment,private final NodeTest nodeTest;,org.apache.commons.jxpath.ri.compiler.NodeTest nodeTest,"private , final "
org.apache.commons.jxpath.ri.axes.ChildContext.startFromParentLocation,Field,No Comment,private final boolean startFromParentLocation;,boolean startFromParentLocation,"private , final "
org.apache.commons.jxpath.ri.axes.ChildContext.reverse,Field,No Comment,private final boolean reverse;,boolean reverse,"private , final "
org.apache.commons.jxpath.ri.axes.ChildContext.iterator,Field,No Comment,private NodeIterator iterator;,org.apache.commons.jxpath.ri.model.NodeIterator iterator,private 
org.apache.commons.jxpath.ri.Compiler.NODE_TYPE_NODE,Field,No Comment,int NODE_TYPE_NODE = 1;,int NODE_TYPE_NODE,default
org.apache.commons.jxpath.ri.Compiler.NODE_TYPE_TEXT,Field,No Comment,int NODE_TYPE_TEXT = 2;,int NODE_TYPE_TEXT,default
org.apache.commons.jxpath.ri.Compiler.NODE_TYPE_COMMENT,Field,No Comment,int NODE_TYPE_COMMENT = 3;,int NODE_TYPE_COMMENT,default
org.apache.commons.jxpath.ri.Compiler.NODE_TYPE_PI,Field,No Comment,int NODE_TYPE_PI = 4;,int NODE_TYPE_PI,default
org.apache.commons.jxpath.ri.Compiler.AXIS_SELF,Field,No Comment,int AXIS_SELF = 1;,int AXIS_SELF,default
org.apache.commons.jxpath.ri.Compiler.AXIS_CHILD,Field,No Comment,int AXIS_CHILD = 2;,int AXIS_CHILD,default
org.apache.commons.jxpath.ri.Compiler.AXIS_PARENT,Field,No Comment,int AXIS_PARENT = 3;,int AXIS_PARENT,default
org.apache.commons.jxpath.ri.Compiler.AXIS_ANCESTOR,Field,No Comment,int AXIS_ANCESTOR = 4;,int AXIS_ANCESTOR,default
